potion_sku,potion_name,category,base_price_copper,potency,shelf_life_days,is_regulated,introduced_at
POT-0001,Brew of the Quiet Pulse,Healing,100,7,90,TRUE,2021-11-02
POT-0002,Essence of Swift Recovery,Healing,925,5,180,N,2021-06-10
POT-0003,Decoction of Silvered Wounds,Healing,475,2,60,N,2020-07-03
POT-0004,Cordial of Bruisebane,Healing,1450,6,30,N,2020-11-19
POT-0005,Tincture of Silvered Wounds,Healing,975,1,180,N,2022-12-07
POT-0006,Essence of the Whole Body,Healing,875,8,14,Y,2025-10-31
POT-0007,Brew of Feverbreak,Healing,1275,9,60,N,2025-06-18
POT-0008,Philter of the Quiet Pulse,Healing,950,3,30,N,2025-05-20
POT-0009,Infusion of Silvered Wounds,Healing,550,4,60,Y,2019-07-25
POT-0010,Tincture of Mended Bones,Healing,300,8,14,N,2026-01-18
POT-0011,Essence of the Steady Heart,Healing,1475,8,14,N,2019-04-16
POT-0012,Elixir of Swift Recovery,HEALING,225,4,14,N,2022-02-26
POT-0013,Cordial of Knitted Flesh,Healing,800,5,180,N,2025-07-25
POT-0014,Cordial of the Quiet Pulse,Healing,500,2,30,N,2025-01-29
POT-0015,Decoction of Feverbreak,Healing,450,5,365,no,2025-10-25
POT-0016,Philter of Gentle Fevers,Healing,400,7,14,N,2026-02-24
POT-0017,Tonic of the Quiet Pulse,Healing,1275,10,60,N,2023-06-12
POT-0018,Decoction of Gentle Fevers,Healing,1050,1,90,N,2021-10-08
POT-0019,Philter of Silvered Wounds,HEALING,1175,5,180,Y,2024-07-22
POT-0020,Essence of Gentle Fevers,Healing,1400,8,14,N,2022-04-13
POT-0021,Draught of Unclouded Thought,Clarity,875,5,365,N,2020-11-06
POT-0022,Essence of the Clear Eye,Clarity,275,7,180,N,2020-10-06
POT-0023,Essence of the Open Book,Clarity,675,10,90,N,2019-04-22
POT-0024,Infusion of Unclouded Thought,Clarity,1500,8,14,Y,2024-03-14
POT-0025,Tonic of the Waking Dream,Clarity,750,2,30,no,2022-02-02
POT-0026,Essence of the Waking Dream,Clarity,850,8,30,N,2020-07-13
POT-0027,Cordial of the Third Question,Clarity,525,7,60,N,2024-11-17
POT-0028,Tincture of the Waking Dream,CLARITY,875,3,90,N,2026-02-14
POT-0029,Infusion of the Open Book,Clarity,1200,4,180,no,2020-10-21
POT-0030,Brew of Quicksilver Wit,Clarity,1150,3,90,N,2025-07-26
POT-0031,Brew of the Clear Eye,Clarity,825,1,365,yes,2025-09-24
POT-0032,Draught of Quicksilver Wit,Clarity,1200,7,365,Y,2025-03-29
POT-0033,Infusion of Focused Mind,Clarity,550,4,365,TRUE,2025-02-26
POT-0034,Elixir of Focused Mind,Clarity,675,7,30,N,2019-04-25
POT-0035,Tonic of Unclouded Thought,Clarity,1075,4,90,N,2022-06-02
POT-0036,Tincture of Quicksilver Wit,Clarity,825,5,365,N,2019-01-20
POT-0037,Cordial of the Waking Dream,Clarity,825,5,30,no,2025-09-08
POT-0038,Decoction of Bright Attention,CLARITY,550,1,365,N,2020-08-28
POT-0039,Elixir of Bright Attention,Clarity,450,10,60,N,2025-04-20
POT-0040,Tonic of the Clear Eye,Clarity,800,1,180,N,2024-08-10
POT-0041,Brew of the Kind Roll,Luck,1350,9,60,no,2019-12-26
POT-0042,Tincture of Serendip,Luck,1475,6,14,N,2023-07-10
POT-0043,Philter of the Kind Roll,Luck,675,2,90,Y,2023-09-29
POT-0044,Tincture of Narrow Escapes,Luck,675,2,365,N,2021-02-19
POT-0045,Infusion of Golden Chances,Luck,1125,2,365,no,2024-02-18
POT-0046,Decoction of the Winning Hand,Luck,875,2,14,N,2024-04-21
POT-0047,Brew of the Charmed Hour,Luck,1500,7,365,Y,2023-03-01
POT-0048,Tincture of Fortunate Turns,Luck,475,6,14,N,2025-02-08
POT-0049,Brew of Fortunate Turns,LUCK,1450,8,14,N,2020-01-24
POT-0050,Elixir of Fortunate Turns,LUCK,1350,10,30,Y,2025-03-07
POT-0051,Philter of Fair Winds,Luck,1050,1,60,N,2019-10-30
POT-0052,Tincture of Found Coins,Luck,100,6,30,N,2023-11-10
