supplier_id,supplier_name,region,reliability_rating,contracted_since
SUP-01,Ember & Sons Reagents,The Marshlands,3,2018-02-12
SUP-02,Blackroot Botanicals,Ember Coast,2,2023-07-25
SUP-03,Wyrmscale Imports,Silverwood,1,2016-01-15
SUP-04,The Mandrake Cooperative,The Marshlands,1,2019-01-10
SUP-05,Moonharvest Farms,Silverwood,5,2017-12-19
SUP-06,Gloomfen Gatherers,Northern Reaches,4,2021-01-05
SUP-07,Stonewell Minerals,Northern Reaches,4,2015-11-19
SUP-08,Featherdown Traders,Crystal Vale,3,2022-01-18
SUP-09,Ashenfield Combustibles,Crystal Vale,3,2021-06-22
SUP-10,Silverleaf Estates,Ember Coast,1,2015-07-07
SUP-11,Tidepool Curiosities,Ember Coast,3,2015-11-23
SUP-12,Grimmarsh Fungals,Ember Coast,1,2019-04-06
SUP-13,Skyloom Apiaries,Silverwood,4,2022-02-16
SUP-14,Deepdelve Crystals,Silverwood,2,2019-02-25
SUP-15,Hearthfire Provisions,Silverwood,2,2022-07-08
