shop_id,shop_name,city,region,opened_at
SHP-01,The Gilded Alembic,Aldermere,Northern Reaches,2014-07-01
SHP-02,Moonpetal & Mortar,Frosthollow,Northern Reaches,2018-03-03
SHP-03,The Bubbling Crucible,Frosthollow,Northern Reaches,2017-01-02
SHP-04,Wyrmfire Remedies,Cinderport,Ember Coast,2014-04-19
SHP-05,The Crooked Cauldron,Kilnhaven,Ember Coast,2013-12-13
SHP-06,Starwell Apothecary,Kilnhaven,Ember Coast,2021-06-18
SHP-07,The Sable Retort,Gleamdale,Silverwood,2012-09-01
SHP-08,Hollowroot Elixirs,Gleamdale,Silverwood,2016-11-26
SHP-09,The Copper Kettle,Gleamdale,Silverwood,2023-05-02
SHP-10,Nightbloom Dispensary,Murkwater Crossing,The Marshlands,2012-08-05
SHP-11,The Whispering Vial,Murkwater Crossing,The Marshlands,2016-06-16
SHP-12,Emberglass Apothecary,Murkwater Crossing,The Marshlands,2021-05-29
SHP-13,Thornwick & Vale,Shardfall,Crystal Vale,2022-01-27
SHP-14,The Silver Pestle,Prismgate,Crystal Vale,2018-03-28
SHP-15,Mistral Tonics,Shardfall,Crystal Vale,2015-07-31
